Player,Team,Goals,Assists,Turnovers,"Quadball Stops","Beater Stops","Beater Shifts","Average Dodgeballs",Plus/Minus,"Runner Catches","Games Played"
"Rose Mournighan",ROC,0,0,4,2,0,2,1.5000,-1,0,10
"Akshat Shah",ROC,0,0,0,0,2,18,1.5000,3,0,3
"Elizabeth McFarland-Porter",ROC,0,0,9,0,0,11,1.0000,-6,0,10
"Joe Glichowski",ROC,3,8,11,9,7,92,1.0217,-29,0,10
"Griffin Parr",NO,0,0,0,0,3,35,0.9714,-19,0,9
"Ben Mertens",NO,11,18,17,11,0,0,NULL,0,0,9
"Josh Mansfield",NO,1,0,0,0,32,193,1.5855,1,0,12
"Veronica Spicer",NO,5,7,17,3,0,0,NULL,0,0,12
"Caitlin Ducat",NO,0,0,0,0,0,0,NULL,0,0,0
"Jason Plain",NO,1,0,3,0,0,0,NULL,0,0,6
"Shelby Cascio",NO,0,0,0,0,0,0,NULL,0,0,0
"Marcellus Lewis",NO,15,14,11,17,0,0,NULL,0,0,12
"Sarah Kneiling",NO,0,0,0,0,5,125,1.2880,-26,0,12
"Tj Goaley",NO,8,2,16,4,0,0,NULL,0,3,12
"Carter Shields",NO,1,0,0,1,0,0,NULL,0,0,3
"Charlton Tramel",NO,22,3,11,7,0,0,NULL,0,0,6
"Aja Palermo",NO,0,0,0,0,0,9,1.5556,0,0,3
"Gabriel Garza",NO,0,0,0,0,0,0,NULL,0,0,0
"Dylan DeLee",NO,3,2,12,7,0,0,NULL,0,0,9
"Sarah Yanofsky",NO,1,1,5,2,0,11,0.9091,-8,0,12
"Felix Rabito",NO,0,0,0,0,0,0,NULL,0,0,0
"Nicholas Savino",NO,4,1,6,2,0,0,NULL,0,0,6
"Michael Sanders",NO,0,0,0,0,9,87,1.2759,-19,0,12
"Carson Running",NO,9,4,21,8,0,0,NULL,0,1,12
"P.J. Mitchell",NO,24,11,24,22,0,0,NULL,0,0,12
"Eric Jurgeson",NO,0,1,1,1,0,0,NULL,0,1,3
"Alex Pucciarelli",NO,0,0,2,0,13,176,1.5568,-7,0,12
"Emma Polen",BOS,7,1,1,2,0,0,NULL,0,0,9
"Taylor Crawford",BOS,29,18,7,6,0,0,NULL,0,0,12
"Stephen Trempel",BOS,2,1,0,1,0,0,NULL,0,2,9
